internal_trade_id,order_id,execution_id,trade_date,settle_date,symbol,side,quantity,price,gross_amount,commission,fees,currency,strategy,portfolio,account_id,broker,source_system,created_at
INT-000044,ORD-000015,EXEC-000044,2026-06-12,2026-06-16,MSFT,BUY,1000,40.9,40900.0,3.0,0.818,USD,ETF_ARB,FUND_ALPHA,PA_LONG_SHORT,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000045,ORD-000016,EXEC-000045,2026-06-12,2026-06-16,AAPL,SELL,300,541.41,162423.0,0.9,3.2485,USD,MOMENTUM,FUND_ALPHA,PA_MARKET_NEUTRAL,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000046,ORD-000016,EXEC-000046,2026-06-12,2026-06-16,MSFT,SELL,2000,344.73,689460.0,6.0,13.7892,USD,MOMENTUM,FUND_ALPHA,PA_LONG_SHORT,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000047,ORD-000016,EXEC-000047,2026-06-12,2026-06-16,NVDA,SELL,100,124.03,12403.0,0.3,0.2481,USD,MOMENTUM,FUND_BETA,PA_EVENT,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000048,ORD-000017,EXEC-000048,2026-06-12,2026-06-16,NVDA,BUY,500,525.86,262930.0,1.5,5.2586,USD,MOMENTUM,FUND_BETA,PA_LONG_SHORT,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000049,ORD-000017,EXEC-000049,2026-06-12,2026-06-16,GOOGL,SELL,2000,481.3,962600.0,6.0,19.252,USD,STAT_ARB,FUND_ALPHA,PA_LONG_SHORT,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000050,ORD-000017,EXEC-000050,2026-06-12,2026-06-16,TSLA,SELL,300,521.32,156396.0,0.9,3.1279,USD,ETF_ARB,FUND_BETA,PA_MARKET_NEUTRAL,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000051,ORD-000018,EXEC-000051,2026-06-12,2026-06-16,AAPL,BUY,300,123.57,37071.0,0.9,0.7414,USD,STAT_ARB,FUND_BETA,PA_MAIN,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000052,ORD-000018,EXEC-000052,2026-06-12,2026-06-16,GOOGL,SELL,500,371.6,185800.0,1.5,3.716,USD,ETF_ARB,FUND_ALPHA,PA_MAIN,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000053,ORD-000018,EXEC-000053,2026-06-12,2026-06-16,META,BUY,1500,272.91,409365.0,4.5,8.1873,USD,MEAN_REVERSION,FUND_BETA,PA_LONG_SHORT,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000054,ORD-000019,EXEC-000054,2026-06-12,2026-06-16,MSFT,SELL,1000,202.07,202070.0,3.0,4.0414,USD,MEAN_REVERSION,FUND_BETA,PA_MARKET_NEUTRAL,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000055,ORD-000019,EXEC-000055,2026-06-12,2026-06-16,GOOGL,SELL,1500,191.48,287220.0,4.5,5.7444,USD,ETF_ARB,FUND_BETA,PA_LONG_SHORT,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000056,ORD-000019,EXEC-000056,2026-06-12,2026-06-16,NVDA,SELL,500,337.8,168900.0,1.5,3.378,USD,MEAN_REVERSION,FUND_ALPHA,PA_MARKET_NEUTRAL,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000057,ORD-000020,EXEC-000057,2026-06-12,2026-06-16,TSLA,SELL,500,276.24,138120.0,1.5,2.7624,USD,ETF_ARB,FUND_ALPHA,PA_LONG_SHORT,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000058,ORD-000020,EXEC-000058,2026-06-12,2026-06-16,MSFT,SELL,1000,405.04,405040.0,3.0,8.1008,USD,STAT_ARB,FUND_ALPHA,PA_MARKET_NEUTRAL,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000059,ORD-000020,EXEC-000059,2026-06-12,2026-06-16,META,BUY,2000,135.5,271000.0,6.0,5.42,USD,MOMENTUM,FUND_BETA,PA_MAIN,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000060,ORD-000021,EXEC-000060,2026-06-12,2026-06-16,QQQ,BUY,500,260.38,130190.0,1.5,2.6038,USD,ETF_ARB,FUND_BETA,PA_LONG_SHORT,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000061,ORD-000021,EXEC-000061,2026-06-12,2026-06-16,TSLA,BUY,200,400.51,80102.0,0.6,1.602,USD,ETF_ARB,FUND_ALPHA,PA_MAIN,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000062,ORD-000021,EXEC-000062,2026-06-12,2026-06-16,NVDA,SELL,100,343.3,34330.0,0.3,0.6866,USD,MOMENTUM,FUND_BETA,PA_EVENT,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000063,ORD-000022,EXEC-000063,2026-06-12,2026-06-16,SPY,SELL,2000,537.03,1074060.0,6.0,21.4812,USD,ETF_ARB,FUND_ALPHA,PA_EVENT,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000064,ORD-000022,EXEC-000064,2026-06-12,2026-06-16,JPM,SELL,300,456.03,136809.0,0.9,2.7362,USD,ETF_ARB,FUND_ALPHA,PA_MARKET_NEUTRAL,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000065,ORD-000022,EXEC-000065,2026-06-12,2026-06-16,META,SELL,100,433.86,43386.0,0.3,0.8677,USD,MEAN_REVERSION,FUND_BETA,PA_MARKET_NEUTRAL,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000066,ORD-000023,EXEC-000066,2026-06-12,2026-06-16,SPY,BUY,200,107.48,21496.0,0.6,0.4299,USD,MOMENTUM,FUND_ALPHA,PA_LONG_SHORT,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000067,ORD-000023,EXEC-000067,2026-06-12,2026-06-16,TSLA,SELL,300,334.71,100413.0,0.9,2.0083,USD,MOMENTUM,FUND_BETA,PA_MAIN,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000068,ORD-000023,EXEC-000068,2026-06-12,2026-06-16,TSLA,BUY,2000,530.78,1061560.0,6.0,21.2312,USD,ETF_ARB,FUND_ALPHA,PA_EVENT,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000069,ORD-000024,EXEC-000069,2026-06-12,2026-06-16,GOOGL,SELL,2000,246.19,492380.0,6.0,9.8476,USD,ETF_ARB,FUND_ALPHA,PA_LONG_SHORT,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000070,ORD-000024,EXEC-000070,2026-06-12,2026-06-16,META,SELL,500,36.83,18415.0,1.5,0.3683,USD,MOMENTUM,FUND_BETA,PA_EVENT,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000071,ORD-000024,EXEC-000071,2026-06-12,2026-06-16,NVDA,BUY,500,363.3,181650.0,1.5,3.633,USD,STAT_ARB,FUND_BETA,PA_MAIN,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000072,ORD-000025,EXEC-000072,2026-06-12,2026-06-16,NVDA,SELL,200,49.17,9834.0,0.6,0.1967,USD,MOMENTUM,FUND_BETA,PA_MARKET_NEUTRAL,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000073,ORD-000025,EXEC-000073,2026-06-12,2026-06-16,GOOGL,SELL,2000,530.19,1060380.0,6.0,21.2076,USD,MEAN_REVERSION,FUND_ALPHA,PA_EVENT,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000074,ORD-000025,EXEC-000074,2026-06-12,2026-06-16,JPM,BUY,1500,332.86,499290.0,4.5,9.9858,USD,STAT_ARB,FUND_ALPHA,PA_LONG_SHORT,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000075,ORD-000026,EXEC-000075,2026-06-12,2026-06-16,AAPL,BUY,200,506.75,101350.0,0.6,2.027,USD,MOMENTUM,FUND_ALPHA,PA_LONG_SHORT,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000076,ORD-000026,EXEC-000076,2026-06-12,2026-06-16,JPM,BUY,1000,569.7,569700.0,3.0,11.394,USD,MEAN_REVERSION,FUND_ALPHA,PA_MARKET_NEUTRAL,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000077,ORD-000026,EXEC-000077,2026-06-12,2026-06-16,QQQ,BUY,2000,495.19,990380.0,6.0,19.8076,USD,STAT_ARB,FUND_BETA,PA_MAIN,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000078,ORD-000027,EXEC-000078,2026-06-12,2026-06-16,QQQ,SELL,500,566.05,283025.0,1.5,5.6605,USD,MOMENTUM,FUND_ALPHA,PA_MAIN,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000079,ORD-000027,EXEC-000079,2026-06-12,2026-06-16,META,BUY,2000,590.63,1181260.0,6.0,23.6252,USD,ETF_ARB,FUND_BETA,PA_MARKET_NEUTRAL,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000080,ORD-000027,EXEC-000080,2026-06-12,2026-06-16,MSFT,SELL,100,512.75,51275.0,0.3,1.0255,USD,ETF_ARB,FUND_BETA,PA_MAIN,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000081,ORD-000028,EXEC-000081,2026-06-12,2026-06-16,JPM,BUY,500,122.16,61080.0,1.5,1.2216,USD,ETF_ARB,FUND_BETA,PA_MARKET_NEUTRAL,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000082,ORD-000028,EXEC-000082,2026-06-12,2026-06-16,TSLA,SELL,300,513.99,154197.0,0.9,3.0839,USD,ETF_ARB,FUND_ALPHA,PA_MARKET_NEUTRAL,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000083,ORD-000028,EXEC-000083,2026-06-12,2026-06-16,JPM,SELL,300,36.65,10995.0,0.9,0.2199,USD,ETF_ARB,FUND_ALPHA,PA_LONG_SHORT,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000084,ORD-000029,EXEC-000084,2026-06-12,2026-06-16,GOOGL,SELL,300,182.2,54660.0,0.9,1.0932,USD,STAT_ARB,FUND_ALPHA,PA_MARKET_NEUTRAL,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000085,ORD-000029,EXEC-000085,2026-06-12,2026-06-16,MSFT,BUY,1500,255.73,383595.0,4.5,7.6719,USD,ETF_ARB,FUND_BETA,PA_LONG_SHORT,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000086,ORD-000029,EXEC-000086,2026-06-12,2026-06-16,JPM,BUY,100,190.66,19066.0,0.3,0.3813,USD,MEAN_REVERSION,FUND_BETA,PA_LONG_SHORT,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000087,ORD-000030,EXEC-000087,2026-06-12,2026-06-16,JPM,SELL,500,598.05,299025.0,1.5,5.9805,USD,MEAN_REVERSION,FUND_BETA,PA_MARKET_NEUTRAL,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000088,ORD-000030,EXEC-000088,2026-06-12,2026-06-16,META,SELL,300,153.71,46113.0,0.9,0.9223,USD,MEAN_REVERSION,FUND_ALPHA,PA_LONG_SHORT,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000089,ORD-000030,EXEC-000089,2026-06-12,2026-06-16,SPY,BUY,200,145.5,29100.0,0.6,0.582,USD,MEAN_REVERSION,FUND_ALPHA,PA_MARKET_NEUTRAL,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000090,ORD-000031,EXEC-000090,2026-06-12,2026-06-16,AMZN,SELL,200,229.31,45862.0,0.6,0.9172,USD,MOMENTUM,FUND_BETA,PA_MAIN,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000091,ORD-000031,EXEC-000091,2026-06-12,2026-06-16,AAPL,BUY,1000,189.44,189440.0,3.0,3.7888,USD,STAT_ARB,FUND_ALPHA,PA_EVENT,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000092,ORD-000031,EXEC-000092,2026-06-12,2026-06-16,QQQ,SELL,500,297.65,148825.0,1.5,2.9765,USD,STAT_ARB,FUND_BETA,PA_LONG_SHORT,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000093,ORD-000032,EXEC-000093,2026-06-12,2026-06-16,JPM,BUY,2000,57.9,115800.0,6.0,2.316,USD,STAT_ARB,FUND_ALPHA,PA_MAIN,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000094,ORD-000032,EXEC-000094,2026-06-12,2026-06-16,NVDA,SELL,100,596.47,59647.0,0.3,1.1929,USD,MOMENTUM,FUND_BETA,PA_EVENT,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000095,ORD-000032,EXEC-000095,2026-06-12,2026-06-16,JPM,SELL,300,518.9,155670.0,0.9,3.1134,USD,STAT_ARB,FUND_ALPHA,PA_MARKET_NEUTRAL,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000096,ORD-000033,EXEC-000096,2026-06-12,2026-06-16,AMZN,BUY,300,403.05,120915.0,0.9,2.4183,USD,MOMENTUM,FUND_ALPHA,PA_LONG_SHORT,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000097,ORD-000033,EXEC-000097,2026-06-12,2026-06-16,NVDA,BUY,500,281.29,140645.0,1.5,2.8129,USD,MEAN_REVERSION,FUND_ALPHA,PA_EVENT,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000098,ORD-000033,EXEC-000098,2026-06-12,2026-06-16,AMZN,SELL,1500,183.98,275970.0,4.5,5.5194,USD,MOMENTUM,FUND_BETA,PA_MAIN,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000099,ORD-000034,EXEC-000099,2026-06-12,2026-06-16,QQQ,BUY,500,86.57,43285.0,1.5,0.8657,USD,MEAN_REVERSION,FUND_ALPHA,PA_LONG_SHORT,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000100,ORD-000034,EXEC-000100,2026-06-12,2026-06-16,MSFT,BUY,200,479.72,95944.0,0.6,1.9189,USD,ETF_ARB,FUND_ALPHA,PA_MARKET_NEUTRAL,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000101,ORD-000034,EXEC-000101,2026-06-12,2026-06-16,JPM,SELL,1500,253.45,380175.0,4.5,7.6035,USD,ETF_ARB,FUND_ALPHA,PA_EVENT,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000102,ORD-000035,EXEC-000102,2026-06-12,2026-06-16,QQQ,BUY,500,446.03,223015.0,1.5,4.4603,USD,STAT_ARB,FUND_ALPHA,PA_MARKET_NEUTRAL,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000103,ORD-000035,EXEC-000103,2026-06-12,2026-06-16,AMZN,BUY,2000,409.92,819840.0,6.0,16.3968,USD,MOMENTUM,FUND_BETA,PA_MAIN,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000104,ORD-000035,EXEC-000104,2026-06-12,2026-06-16,SPY,SELL,300,125.26,37578.0,0.9,0.7516,USD,ETF_ARB,FUND_ALPHA,PA_EVENT,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000105,ORD-000036,EXEC-000105,2026-06-12,2026-06-16,JPM,SELL,500,213.32,106660.0,1.5,2.1332,USD,MOMENTUM,FUND_BETA,PA_MAIN,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
